Team,League,Division
NY Yankees,American,East
Toronto,American,East
Tampa Bay,American,East
Boston,American,East
Baltimore,American,East
Minnesota,American,Central
Kansas City,American,Central
Chi White Sox,American,Central
Cleveland,American,Central
Detroit,American,Central
LA Angels,American,West
Seattle,American,West
Houston,American,West
Oakland,American,West
Texas,American,West
NY Mets,National,East
Miami,National,East
Philadelphia,National,East
Atlanta,National,East
Washington,National,East
Milwaukee,National,Central
St. Louis,National,Central
Chi Cubs,National,Central
Pittsburgh,National,Central
Cincinnati,National,Central
San Francisco,National,West
LA Dodgers,National,West
San Diego,National,West
Colorado,National,West
Arizona,National,West
