raceplace,var_name,group,beta,se,varName,model
1,1.alcprob,Dementia,2.4873078,1.0744395,alcprob,ASE Adj Model
2,1.alcprob,Dementia,-.43988112,.52902788,alcprob,ASE Adj Model
3,1.alcprob,Dementia,1.4936997,.27979091,alcprob,ASE Adj Model
4,1.alcprob,Dementia,.44648477,.39906722,alcprob,ASE Adj Model
5,1.alcprob,Dementia,1.6806103,1.4323567,alcprob,ASE Adj Model
6,1.alcprob,Dementia,-.34376678,.78903824,alcprob,ASE Adj Model
1,1.bmigte30,Dementia,-.21260488,.27776816,bmigte30,ASE Adj Model
2,1.bmigte30,Dementia,-.40529647,.34624159,bmigte30,ASE Adj Model
3,1.bmigte30,Dementia,-.19599554,.26082718,bmigte30,ASE Adj Model
4,1.bmigte30,Dementia,-.4369331,.50107354,bmigte30,ASE Adj Model
5,1.bmigte30,Dementia,-14.009446,1436.9104,bmigte30,ASE Adj Model
6,1.bmigte30,Dementia,-1.0465595,.22697909,bmigte30,ASE Adj Model
1,1.cvdhx,Dementia,.13942043,.24327813,cvdhx,ASE Adj Model
2,1.cvdhx,Dementia,.70788908,.31070155,cvdhx,ASE Adj Model
3,1.cvdhx,Dementia,.33865273,.2616865,cvdhx,ASE Adj Model
4,1.cvdhx,Dementia,.44768763,.3813566,cvdhx,ASE Adj Model
5,1.cvdhx,Dementia,-14.661408,2464.5112,cvdhx,ASE Adj Model
6,1.cvdhx,Dementia,.21257474,.28694347,cvdhx,ASE Adj Model
1,1.educ_lths,Dementia,1.4873068,.25579482,educ_lths,ASE Adj Model
2,1.educ_lths,Dementia,-.36130825,.74343181,educ_lths,ASE Adj Model
3,1.educ_lths,Dementia,.69902956,.22766837,educ_lths,ASE Adj Model
4,1.educ_lths,Dementia,1.1137841,.45457116,educ_lths,ASE Adj Model
5,1.educ_lths,Dementia,-.04590714,1.5618112,educ_lths,ASE Adj Model
6,1.educ_lths,Dementia,.93335265,.19401935,educ_lths,ASE Adj Model
1,1.eversmoked,Dementia,-.068293184,.23855528,eversmoked,ASE Adj Model
2,1.eversmoked,Dementia,-.12582083,.27345061,eversmoked,ASE Adj Model
3,1.eversmoked,Dementia,-.6761471,.23620467,eversmoked,ASE Adj Model
4,1.eversmoked,Dementia,.25869343,.34900042,eversmoked,ASE Adj Model
5,1.eversmoked,Dementia,-15.179652,1637.5237,eversmoked,ASE Adj Model
6,1.eversmoked,Dementia,-.56022447,.20920008,eversmoked,ASE Adj Model
1,1.fxdementia,Dementia,.32929096,.24994121,fxdementia,ASE Adj Model
2,1.fxdementia,Dementia,2.034677,.30542898,fxdementia,ASE Adj Model
3,1.fxdementia,Dementia,1.3646313,.25504366,fxdementia,ASE Adj Model
4,1.fxdementia,Dementia,1.7460994,.37594992,fxdementia,ASE Adj Model
5,1.fxdementia,Dementia,-12.681184,4170.1978,fxdementia,ASE Adj Model
6,1.fxdementia,Dementia,2.0723944,.28704372,fxdementia,ASE Adj Model
1,1.male,Dementia,.49321249,.23686987,male,ASE Adj Model
2,1.male,Dementia,.082804859,.26764047,male,ASE Adj Model
3,1.male,Dementia,.10930706,.21737802,male,ASE Adj Model
4,1.male,Dementia,1.2410272,.36151314,male,ASE Adj Model
5,1.male,Dementia,-16.356161,2594.5059,male,ASE Adj Model
6,1.male,Dementia,.21045682,.20356911,male,ASE Adj Model
1,1.srmc,Dementia,1.3329612,.24718817,srmc,ASE Adj Model
2,1.srmc,Dementia,1.0171334,.29745087,srmc,ASE Adj Model
3,1.srmc,Dementia,.90824234,.24049982,srmc,ASE Adj Model
4,1.srmc,Dementia,1.34813,.35617197,srmc,ASE Adj Model
5,1.srmc,Dementia,-.16505274,1.8344868,srmc,ASE Adj Model
6,1.srmc,Dementia,.16480298,.22569984,srmc,ASE Adj Model
1,1.strokehx,Dementia,1.1481284,.30883864,strokehx,ASE Adj Model
2,1.strokehx,Dementia,1.463219,.45563048,strokehx,ASE Adj Model
3,1.strokehx,Dementia,2.3498797,.3561945,strokehx,ASE Adj Model
4,1.strokehx,Dementia,.81089616,.66537374,strokehx,ASE Adj Model
5,1.strokehx,Dementia,-16.239626,8382.8691,strokehx,ASE Adj Model
6,1.strokehx,Dementia,.64867145,.3207207,strokehx,ASE Adj Model
1,1.unmarried,Dementia,.23671222,.26410556,unmarried,ASE Adj Model
2,1.unmarried,Dementia,-.37331083,.32974824,unmarried,ASE Adj Model
3,1.unmarried,Dementia,-.32632503,.24318147,unmarried,ASE Adj Model
4,1.unmarried,Dementia,-.5443297,.45156154,unmarried,ASE Adj Model
5,1.unmarried,Dementia,-1.7911527,1.7522829,unmarried,ASE Adj Model
6,1.unmarried,Dementia,.36036226,.22960277,unmarried,ASE Adj Model
1,2.dm3cat,Dementia,-.033326451,.32396841,dm3cat,ASE Adj Model
2,2.dm3cat,Dementia,.57731575,.37160543,dm3cat,ASE Adj Model
3,2.dm3cat,Dementia,.27500504,.28334749,dm3cat,ASE Adj Model
4,2.dm3cat,Dementia,1.7333488,.39433998,dm3cat,ASE Adj Model
5,2.dm3cat,Dementia,-.61410433,2.5992601,dm3cat,ASE Adj Model
6,2.dm3cat,Dementia,.54782581,.24586065,dm3cat,ASE Adj Model
1,2.htn3cat,Dementia,.10985996,.30725878,htn3cat,ASE Adj Model
2,2.htn3cat,Dementia,.089588046,.32357407,htn3cat,ASE Adj Model
3,2.htn3cat,Dementia,-.12947315,.26688156,htn3cat,ASE Adj Model
4,2.htn3cat,Dementia,.064969264,.37286457,htn3cat,ASE Adj Model
5,2.htn3cat,Dementia,12.878123,2428.0525,htn3cat,ASE Adj Model
6,2.htn3cat,Dementia,-.40610814,.29899654,htn3cat,ASE Adj Model
1,3.dm3cat,Dementia,-.83090913,1.0217534,dm3cat,ASE Adj Model
2,3.dm3cat,Dementia,-.80717731,.73790908,dm3cat,ASE Adj Model
3,3.dm3cat,Dementia,.38041335,.39138511,dm3cat,ASE Adj Model
4,3.dm3cat,Dementia,.87924814,.59139186,dm3cat,ASE Adj Model
5,3.dm3cat,Dementia,-9.998765,6061.3945,dm3cat,ASE Adj Model
6,3.dm3cat,Dementia,.013320354,.55832803,dm3cat,ASE Adj Model
